PairName,SeqType,NumMatches,Inliers,TimeMS,H_Error,MMA@3,MMA@5,MMA@7,MHA_Acc@3,MHA_Acc@5,MHA_Acc@7,AUC@1,AUC@3,AUC@5,AUC@10
i_ajuntament_1_2,illumination,2211,1853,267.55,0.6361,0.8277,0.9218,0.9548,1,1,1,0.3639,0.7880,0.8728,0.9364
i_ajuntament_1_3,illumination,1666,1212,8.86,0.8996,0.6957,0.8601,0.9268,1,1,1,0.1004,0.7001,0.8201,0.9100
i_ajuntament_1_4,illumination,1300,683,17.27,1.4654,0.4977,0.6838,0.7877,1,1,1,0.0000,0.5115,0.7069,0.8535
i_ajuntament_1_5,illumination,1263,707,9.73,1.2641,0.5321,0.7039,0.8013,1,1,1,0.0000,0.5786,0.7472,0.8736
i_ajuntament_1_6,illumination,1391,773,9.35,1.1041,0.5191,0.7117,0.8095,1,1,1,0.0000,0.6320,0.7792,0.8896
i_autannes_1_2,illumination,1968,1763,17.94,0.0000,0.9009,0.9680,0.9873,1,1,1,1.0000,1.0000,1.0000,1.0000
i_autannes_1_3,illumination,1831,1585,8.54,0.5309,0.8607,0.9388,0.9700,1,1,1,0.4691,0.8230,0.8938,0.9469
i_autannes_1_4,illumination,1226,688,9.02,1.5287,0.5408,0.7284,0.8369,1,1,1,0.0000,0.4904,0.6943,0.8471
i_autannes_1_5,illumination,1255,758,9.17,1.3485,0.5873,0.7641,0.8558,1,1,1,0.0000,0.5505,0.7303,0.8652
i_autannes_1_6,illumination,1627,1189,8.34,0.5615,0.7246,0.8519,0.9195,1,1,1,0.4385,0.8128,0.8877,0.9438
i_bologna_1_2,illumination,1108,1013,15.36,0.3777,0.9152,0.9639,0.9847,1,1,1,0.6223,0.8741,0.9245,0.9622
i_bologna_1_3,illumination,1028,890,7.09,0.0000,0.8677,0.9436,0.9698,1,1,1,1.0000,1.0000,1.0000,1.0000
i_bologna_1_4,illumination,967,798,7.06,1.2463,0.8159,0.9142,0.9607,1,1,1,0.0000,0.5846,0.7507,0.8754
i_bologna_1_5,illumination,888,689,7.14,1.4960,0.7669,0.8941,0.9437,1,1,1,0.0000,0.5013,0.7008,0.8504
i_bologna_1_6,illumination,857,660,7.10,1.1888,0.7620,0.8903,0.9498,1,1,1,0.0000,0.6037,0.7622,0.8811
i_books_1_2,illumination,1212,963,8.05,0.4070,0.7772,0.8663,0.8993,1,1,1,0.5930,0.8643,0.9186,0.9593
i_books_1_3,illumination,1316,1058,8.67,0.0000,0.8176,0.9050,0.9392,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_4,illumination,1400,1168,8.92,0.4991,0.8179,0.9250,0.9514,1,1,1,0.5009,0.8336,0.9002,0.9501
i_books_1_5,illumination,1439,1201,7.93,0.0000,0.8450,0.9236,0.9472,1,1,1,1.0000,1.0000,1.0000,1.0000
i_books_1_6,illumination,1366,1053,7.77,0.0000,0.7789,0.8697,0.9078,1,1,1,1.0000,1.0000,1.0000,1.0000
i_boutique_1_2,illumination,2182,1942,8.07,0.3985,0.8708,0.9560,0.9826,1,1,1,0.6015,0.8672,0.9203,0.9602
i_boutique_1_3,illumination,2175,1813,8.90,0.0000,0.8474,0.9457,0.9793,1,1,1,1.0000,1.0000,1.0000,1.0000
i_boutique_1_4,illumination,2223,1929,8.44,0.5928,0.8516,0.9451,0.9793,1,1,1,0.4072,0.8024,0.8814,0.9407
i_boutique_1_5,illumination,1571,1012,8.43,0.5314,0.6244,0.7899,0.8701,1,1,1,0.4686,0.8229,0.8937,0.9469
i_boutique_1_6,illumination,1541,981,8.30,0.2992,0.6171,0.7625,0.8488,1,1,1,0.7008,0.9003,0.9402,0.9701
i_bridger_1_2,illumination,2127,1899,26.15,0.3860,0.8693,0.9671,0.9929,1,1,1,0.6140,0.8713,0.9228,0.9614
i_bridger_1_3,illumination,1875,1533,8.91,0.6446,0.8043,0.9179,0.9659,1,1,1,0.3554,0.7851,0.8711,0.9355
i_bridger_1_4,illumination,1927,1612,8.62,0.7721,0.8236,0.9393,0.9761,1,1,1,0.2279,0.7426,0.8456,0.9228
i_bridger_1_5,illumination,1819,1392,8.15,0.9853,0.7515,0.9071,0.9637,1,1,1,0.0147,0.6716,0.8029,0.9015
i_bridger_1_6,illumination,1211,660,8.28,1.0227,0.5310,0.7201,0.8373,1,1,1,0.0000,0.6591,0.7955,0.8977
i_brooklyn_1_2,illumination,1752,1374,8.42,0.3974,0.7780,0.9024,0.9543,1,1,1,0.6026,0.8675,0.9205,0.9603
i_brooklyn_1_3,illumination,1985,1732,8.08,1.0365,0.8519,0.9657,0.9909,1,1,1,0.0000,0.6545,0.7927,0.8963
i_brooklyn_1_4,illumination,1629,1162,8.65,0.6335,0.6882,0.8533,0.9343,1,1,1,0.3665,0.7888,0.8733,0.9366
i_brooklyn_1_5,illumination,2008,1717,9.43,1.1228,0.8282,0.9651,0.9925,1,1,1,0.0000,0.6257,0.7754,0.8877
i_brooklyn_1_6,illumination,1720,1270,9.06,1.0445,0.7105,0.8878,0.9512,1,1,1,0.0000,0.6518,0.7911,0.8956
i_castle_1_2,illumination,1338,768,9.02,1.0217,0.5740,0.7653,0.8543,1,1,1,0.0000,0.6594,0.7957,0.8978
i_castle_1_3,illumination,1544,1139,9.77,0.3837,0.7364,0.8795,0.9352,1,1,1,0.6163,0.8721,0.9233,0.9616
i_castle_1_4,illumination,1455,1047,9.09,0.8994,0.6914,0.8460,0.9127,1,1,1,0.1006,0.7002,0.8201,0.9101
i_castle_1_5,illumination,1114,656,8.56,1.0768,0.5718,0.7603,0.8573,1,1,1,0.0000,0.6411,0.7846,0.8923
i_castle_1_6,illumination,1272,742,8.53,0.6572,0.5731,0.7288,0.8192,1,1,1,0.3428,0.7809,0.8686,0.9343
i_chestnuts_1_2,illumination,1701,1469,8.59,0.2815,0.8642,0.9324,0.9606,1,1,1,0.7185,0.9062,0.9437,0.9719
i_chestnuts_1_3,illumination,1678,1420,7.69,0.0000,0.8534,0.9178,0.9535,1,1,1,1.0000,1.0000,1.0000,1.0000
i_chestnuts_1_4,illumination,1685,1408,8.01,0.3336,0.8326,0.9086,0.9383,1,1,1,0.6664,0.8888,0.9333,0.9666
i_chestnuts_1_5,illumination,1577,1269,7.76,0.7026,0.7958,0.8725,0.9182,1,1,1,0.2974,0.7658,0.8595,0.9297
i_chestnuts_1_6,illumination,1383,1031,8.01,1.0620,0.7296,0.8380,0.8973,1,1,1,0.0000,0.6460,0.7876,0.8938
i_crownday_1_2,illumination,1844,1113,10.18,1.5243,0.5938,0.7787,0.8785,1,1,1,0.0000,0.4919,0.6951,0.8476
i_crownday_1_3,illumination,2196,1614,9.91,0.9729,0.7190,0.8625,0.9249,1,1,1,0.0271,0.6757,0.8054,0.9027
i_crownday_1_4,illumination,2405,1928,9.56,1.3430,0.7888,0.8994,0.9443,1,1,1,0.0000,0.5523,0.7314,0.8657
i_crownday_1_5,illumination,2684,2306,9.69,0.7424,0.8592,0.9426,0.9706,1,1,1,0.2576,0.7525,0.8515,0.9258
i_crownday_1_6,illumination,1714,1068,9.58,1.1447,0.6015,0.7935,0.8944,1,1,1,0.0000,0.6184,0.7711,0.8855
i_dome_1_2,illumination,1886,1749,9.70,0.0000,0.9295,0.9740,0.9867,1,1,1,1.0000,1.0000,1.0000,1.0000
i_dome_1_3,illumination,938,559,9.49,3.4493,0.5821,0.7591,0.8497,0,1,1,0.0000,0.0000,0.3101,0.6551
i_dome_1_4,illumination,915,559,7.86,2.1475,0.5967,0.7628,0.8557,1,1,1,0.0000,0.2842,0.5705,0.7853
i_dome_1_5,illumination,983,599,8.41,1.7344,0.5870,0.7599,0.8545,1,1,1,0.0000,0.4219,0.6531,0.8266
i_dome_1_6,illumination,1567,1187,9.04,0.4776,0.7569,0.8909,0.9272,1,1,1,0.5224,0.8408,0.9045,0.9522
i_duda_1_2,illumination,1027,1019,7.55,0.3261,0.9893,0.9971,0.9981,1,1,1,0.6739,0.8913,0.9348,0.9674
i_duda_1_3,illumination,978,952,8.09,0.3349,0.9724,0.9959,0.9980,1,1,1,0.6651,0.8884,0.9330,0.9665
i_duda_1_4,illumination,947,908,7.94,0.3316,0.9514,0.9947,0.9979,1,1,1,0.6684,0.8895,0.9337,0.9668
i_duda_1_5,illumination,901,847,7.30,0.8748,0.9223,0.9834,0.9933,1,1,1,0.1252,0.7084,0.8250,0.9125
i_duda_1_6,illumination,771,656,7.21,0.8718,0.8288,0.9377,0.9702,1,1,1,0.1282,0.7094,0.8256,0.9128
i_fenis_1_2,illumination,2043,1808,7.84,0.3764,0.8742,0.9584,0.9809,1,1,1,0.6236,0.8745,0.9247,0.9624
i_fenis_1_3,illumination,1679,1267,7.85,0.8379,0.7344,0.8749,0.9369,1,1,1,0.1621,0.7207,0.8324,0.9162
i_fenis_1_4,illumination,971,479,7.80,1.3401,0.4892,0.6457,0.7343,1,1,1,0.0000,0.5533,0.7320,0.8660
i_fenis_1_5,illumination,845,371,7.77,1.5577,0.4142,0.5598,0.6414,1,1,1,0.0000,0.4808,0.6885,0.8442
i_fenis_1_6,illumination,917,433,7.41,2.5694,0.4646,0.6194,0.7034,1,1,1,0.0000,0.1435,0.4861,0.7431
i_fog_1_2,illumination,2408,2155,8.12,0.0000,0.9016,0.9680,0.9904,1,1,1,1.0000,1.0000,1.0000,1.0000
i_fog_1_3,illumination,1937,1571,9.05,0.5035,0.8147,0.9174,0.9644,1,1,1,0.4965,0.8322,0.8993,0.9497
i_fog_1_4,illumination,1966,1542,9.83,0.7662,0.7859,0.8988,0.9517,1,1,1,0.2338,0.7446,0.8468,0.9234
i_fog_1_5,illumination,1270,949,8.93,1.2068,0.7472,0.8276,0.8654,1,1,1,0.0000,0.5977,0.7586,0.8793
i_fog_1_6,illumination,1257,927,8.95,0.6446,0.7327,0.8305,0.8687,1,1,1,0.3554,0.7851,0.8711,0.9355
i_fruits_1_2,illumination,2801,2252,19.08,0.5658,0.7994,0.9090,0.9422,1,1,1,0.4342,0.8114,0.8868,0.9434
i_fruits_1_3,illumination,2646,1973,9.79,0.0000,0.7589,0.8900,0.9320,1,1,1,1.0000,1.0000,1.0000,1.0000
i_fruits_1_4,illumination,2611,1981,10.05,0.5616,0.7556,0.8690,0.9154,1,1,1,0.4384,0.8128,0.8877,0.9438
i_fruits_1_5,illumination,2588,1943,10.57,0.5246,0.7400,0.8586,0.9053,1,1,1,0.4754,0.8251,0.8951,0.9475
i_fruits_1_6,illumination,2632,2032,11.42,0.9572,0.7565,0.8754,0.9172,1,1,1,0.0428,0.6809,0.8086,0.9043
i_gonnenberg_1_2,illumination,1886,1751,8.59,0.0000,0.9358,0.9814,0.9878,1,1,1,1.0000,1.0000,1.0000,1.0000
i_gonnenberg_1_3,illumination,1879,1750,8.93,0.9525,0.9276,0.9745,0.9830,1,1,1,0.0475,0.6825,0.8095,0.9047
i_gonnenberg_1_4,illumination,1774,1614,8.07,0.8159,0.9047,0.9684,0.9825,1,1,1,0.1841,0.7280,0.8368,0.9184
i_gonnenberg_1_5,illumination,1792,1646,7.75,0.7440,0.9180,0.9743,0.9866,1,1,1,0.2560,0.7520,0.8512,0.9256
i_gonnenberg_1_6,illumination,1821,1665,7.55,0.6301,0.9083,0.9665,0.9780,1,1,1,0.3699,0.7900,0.8740,0.9370
i_greenhouse_1_2,illumination,2464,2107,8.84,0.2238,0.8571,0.9464,0.9769,1,1,1,0.7762,0.9254,0.9552,0.9776
i_greenhouse_1_3,illumination,2523,2047,9.71,0.5328,0.8042,0.9195,0.9707,1,1,1,0.4672,0.8224,0.8934,0.9467
i_greenhouse_1_4,illumination,2409,1930,10.70,0.4609,0.7912,0.9141,0.9647,1,1,1,0.5391,0.8464,0.9078,0.9539
i_greenhouse_1_5,illumination,2364,1818,10.32,0.5943,0.7589,0.8866,0.9484,1,1,1,0.4057,0.8019,0.8811,0.9406
i_greenhouse_1_6,illumination,2200,1664,10.53,0.5298,0.7423,0.8855,0.9486,1,1,1,0.4702,0.8234,0.8940,0.9470
i_greentea_1_2,illumination,1493,1232,9.72,0.5170,0.8165,0.8868,0.9176,1,1,1,0.4830,0.8277,0.8966,0.9483
i_greentea_1_3,illumination,1948,1755,9.01,0.0000,0.9025,0.9482,0.9641,1,1,1,1.0000,1.0000,1.0000,1.0000
i_greentea_1_4,illumination,1991,1839,8.14,0.1427,0.9216,0.9583,0.9704,1,1,1,0.8573,0.9524,0.9715,0.9857
i_greentea_1_5,illumination,1995,1802,8.29,0.0000,0.9063,0.9499,0.9634,1,1,1,1.0000,1.0000,1.0000,1.0000
i_greentea_1_6,illumination,1914,1622,9.00,0.0000,0.8511,0.9336,0.9650,1,1,1,1.0000,1.0000,1.0000,1.0000
i_indiana_1_2,illumination,1826,1449,9.35,0.4275,0.7782,0.8938,0.9485,1,1,1,0.5725,0.8575,0.9145,0.9572
i_indiana_1_3,illumination,1766,1295,9.96,0.6952,0.7254,0.8703,0.9383,1,1,1,0.3048,0.7683,0.8610,0.9305
i_indiana_1_4,illumination,1667,1184,8.84,0.6595,0.6977,0.8626,0.9388,1,1,1,0.3405,0.7802,0.8681,0.9341
i_indiana_1_5,illumination,1634,1136,9.13,0.8588,0.6787,0.8452,0.9321,1,1,1,0.1412,0.7137,0.8282,0.9141
i_indiana_1_6,illumination,1568,1055,9.56,0.9878,0.6543,0.8342,0.9088,1,1,1,0.0122,0.6707,0.8024,0.9012
i_kions_1_2,illumination,1325,1038,16.15,1.3245,0.7268,0.9072,0.9555,1,1,1,0.0000,0.5585,0.7351,0.8675
i_kions_1_3,illumination,1093,779,8.39,0.7645,0.6908,0.8408,0.9048,1,1,1,0.2355,0.7452,0.8471,0.9235
i_kions_1_4,illumination,1241,794,8.53,2.4290,0.5955,0.8187,0.9057,1,1,1,0.0000,0.1903,0.5142,0.7571
i_kions_1_5,illumination,1231,823,8.32,1.9314,0.6182,0.8440,0.9253,1,1,1,0.0000,0.3562,0.6137,0.8069
i_kions_1_6,illumination,1013,636,8.60,0.9183,0.6081,0.7828,0.8500,1,1,1,0.0817,0.6939,0.8163,0.9082
i_ktirio_1_2,illumination,2234,2137,8.60,0.1375,0.9512,0.9884,0.9937,1,1,1,0.8625,0.9542,0.9725,0.9862
i_ktirio_1_3,illumination,1802,1476,8.46,0.4299,0.8174,0.9151,0.9573,1,1,1,0.5701,0.8567,0.9140,0.9570
i_ktirio_1_4,illumination,1324,866,9.41,1.6253,0.6427,0.7628,0.8474,1,1,1,0.0000,0.4582,0.6749,0.8375
i_ktirio_1_5,illumination,1591,1236,8.86,0.3254,0.7737,0.8818,0.9296,1,1,1,0.6746,0.8915,0.9349,0.9675
i_ktirio_1_6,illumination,1251,769,9.84,1.3572,0.5883,0.7330,0.8313,1,1,1,0.0000,0.5476,0.7286,0.8643
i_kurhaus_1_2,illumination,2039,1876,8.46,0.0884,0.9235,0.9740,0.9843,1,1,1,0.9116,0.9705,0.9823,0.9912
i_kurhaus_1_3,illumination,1844,1597,8.09,0.0000,0.8693,0.9507,0.9794,1,1,1,1.0000,1.0000,1.0000,1.0000
i_kurhaus_1_4,illumination,1713,1370,8.66,0.4654,0.8027,0.8967,0.9422,1,1,1,0.5346,0.8449,0.9069,0.9535
i_kurhaus_1_5,illumination,1579,1206,8.52,0.6703,0.7600,0.8607,0.9177,1,1,1,0.3297,0.7766,0.8659,0.9330
i_kurhaus_1_6,illumination,1467,1074,8.69,0.5698,0.7342,0.8432,0.8950,1,1,1,0.4302,0.8101,0.8860,0.9430
i_leuven_1_2,illumination,1948,1560,9.18,2.0662,0.7675,0.9199,0.9682,1,1,1,0.0000,0.3113,0.5868,0.7934
i_leuven_1_3,illumination,2120,1801,9.13,1.7113,0.8264,0.9349,0.9684,1,1,1,0.0000,0.4296,0.6577,0.8289
i_leuven_1_4,illumination,1975,1542,10.08,2.4828,0.7575,0.9038,0.9529,1,1,1,0.0000,0.1724,0.5034,0.7517
i_leuven_1_5,illumination,1779,1364,9.89,2.2252,0.7403,0.9011,0.9460,1,1,1,0.0000,0.2583,0.5550,0.7775
i_leuven_1_6,illumination,1598,1194,9.95,7.8191,0.5519,0.7434,0.8298,0,0,0,0.0000,0.0000,0.0000,0.2181
i_lionday_1_2,illumination,1200,740,8.63,1.5128,0.5742,0.7692,0.8808,1,1,1,0.0000,0.4957,0.6974,0.8487
i_lionday_1_3,illumination,1298,870,8.76,1.3375,0.6541,0.8074,0.8829,1,1,1,0.0000,0.5542,0.7325,0.8663
i_lionday_1_4,illumination,926,345,8.58,2.7113,0.3294,0.4978,0.6425,1,1,1,0.0000,0.0962,0.4577,0.7289
i_lionday_1_5,illumination,1087,497,8.33,3.0723,0.3937,0.5998,0.7397,0,1,1,0.0000,0.0000,0.3855,0.6928
i_lionday_1_6,illumination,1288,882,8.26,1.8893,0.6343,0.8137,0.8944,1,1,1,0.0000,0.3702,0.6221,0.8111
i_lionnight_1_2,illumination,1632,1295,8.88,0.5766,0.7868,0.9173,0.9608,1,1,1,0.4234,0.8078,0.8847,0.9423
i_lionnight_1_3,illumination,1157,770,8.56,0.9500,0.6448,0.7736,0.8539,1,1,1,0.0500,0.6833,0.8100,0.9050
i_lionnight_1_4,illumination,1687,1459,8.98,0.5643,0.8435,0.9372,0.9627,1,1,1,0.4357,0.8119,0.8871,0.9436
i_lionnight_1_5,illumination,1639,1411,8.23,0.9576,0.8328,0.9225,0.9475,1,1,1,0.0424,0.6808,0.8085,0.9042
i_lionnight_1_6,illumination,1649,1342,8.48,1.3471,0.7944,0.8963,0.9369,1,1,1,0.0000,0.5510,0.7306,0.8653
i_londonbridge_1_2,illumination,1534,1397,8.15,0.9487,0.8853,0.9746,0.9876,1,1,1,0.0513,0.6838,0.8103,0.9051
i_londonbridge_1_3,illumination,1452,1295,8.77,0.8526,0.8850,0.9731,0.9924,1,1,1,0.1474,0.7158,0.8295,0.9147
i_londonbridge_1_4,illumination,1299,991,8.29,1.8696,0.7206,0.9184,0.9630,1,1,1,0.0000,0.3768,0.6261,0.8130
i_londonbridge_1_5,illumination,908,374,8.22,4.0830,0.3689,0.6068,0.7797,0,1,1,0.0000,0.0000,0.1834,0.5917
i_londonbridge_1_6,illumination,1307,1088,7.75,0.7060,0.8095,0.9388,0.9809,1,1,1,0.2940,0.7647,0.8588,0.9294
i_melon_1_2,illumination,1498,1282,8.49,0.3423,0.8471,0.9246,0.9506,1,1,1,0.6577,0.8859,0.9315,0.9658
i_melon_1_3,illumination,1285,985,8.59,1.0172,0.7533,0.8693,0.9160,1,1,1,0.0000,0.6609,0.7966,0.8983
i_melon_1_4,illumination,822,418,8.32,1.7615,0.4915,0.6350,0.7470,1,1,1,0.0000,0.4128,0.6477,0.8239
i_melon_1_5,illumination,1287,953,8.54,0.9306,0.7203,0.8524,0.9153,1,1,1,0.0694,0.6898,0.8139,0.9069
i_melon_1_6,illumination,1202,824,7.99,0.6929,0.6564,0.7978,0.8894,1,1,1,0.3071,0.7690,0.8614,0.9307
i_miniature_1_2,illumination,2048,1853,8.33,0.0000,0.9131,0.9575,0.9775,1,1,1,1.0000,1.0000,1.0000,1.0000
i_miniature_1_3,illumination,1834,1543,8.15,0.6527,0.8304,0.9160,0.9509,1,1,1,0.3473,0.7824,0.8695,0.9347
i_miniature_1_4,illumination,1395,940,8.48,1.6680,0.6538,0.8172,0.8753,1,1,1,0.0000,0.4440,0.6664,0.8332
i_miniature_1_5,illumination,992,487,9.70,2.3602,0.4899,0.6381,0.7308,1,1,1,0.0000,0.2133,0.5280,0.7640
i_miniature_1_6,illumination,1783,1498,9.43,0.8115,0.8200,0.9103,0.9428,1,1,1,0.1885,0.7295,0.8377,0.9188
i_nescafe_1_2,illumination,1340,1049,8.49,0.0000,0.7925,0.8627,0.8993,1,1,1,1.0000,1.0000,1.0000,1.0000
i_nescafe_1_3,illumination,1603,1331,8.01,0.0000,0.8384,0.9021,0.9233,1,1,1,1.0000,1.0000,1.0000,1.0000
i_nescafe_1_4,illumination,1672,1414,7.97,0.0000,0.8535,0.9103,0.9516,1,1,1,1.0000,1.0000,1.0000,1.0000
i_nescafe_1_5,illumination,1520,1311,7.72,0.5519,0.8579,0.9243,0.9546,1,1,1,0.4481,0.8160,0.8896,0.9448
i_nescafe_1_6,illumination,1440,1114,8.34,0.4374,0.7667,0.8660,0.9153,1,1,1,0.5626,0.8542,0.9125,0.9563
i_nijmegen_1_2,illumination,2551,2120,9.29,0.6496,0.8056,0.9479,0.9831,1,1,1,0.3504,0.7835,0.8701,0.9350
i_nijmegen_1_3,illumination,2757,2425,9.15,0.5571,0.8455,0.9684,0.9946,1,1,1,0.4429,0.8143,0.8886,0.9443
i_nijmegen_1_4,illumination,1810,1113,10.01,1.0140,0.5884,0.7779,0.8740,1,1,1,0.0000,0.6620,0.7972,0.8986
i_nijmegen_1_5,illumination,2756,2387,9.54,0.6634,0.8374,0.9615,0.9877,1,1,1,0.3366,0.7789,0.8673,0.9337
i_nijmegen_1_6,illumination,2693,2322,9.72,0.5744,0.8400,0.9580,0.9892,1,1,1,0.4256,0.8085,0.8851,0.9426
i_nuts_1_2,illumination,2347,1457,10.08,1.5731,0.6080,0.7482,0.8164,1,1,1,0.0000,0.4756,0.6854,0.8427
i_nuts_1_3,illumination,1410,641,10.91,1.4732,0.4355,0.5830,0.6560,1,1,1,0.0000,0.5089,0.7054,0.8527
i_nuts_1_4,illumination,1069,336,10.42,0.7839,0.3115,0.4181,0.5070,1,1,1,0.2161,0.7387,0.8432,0.9216
i_nuts_1_5,illumination,976,152,9.91,1.0787,0.1557,0.2439,0.3053,1,1,1,0.0000,0.6404,0.7843,0.8921
i_nuts_1_6,illumination,900,95,9.67,2.7766,0.1044,0.1500,0.2167,1,1,1,0.0000,0.0745,0.4447,0.7223
i_objects_1_2,illumination,1730,1427,9.30,0.8080,0.8202,0.9428,0.9827,1,1,1,0.1920,0.7307,0.8384,0.9192
i_objects_1_3,illumination,1591,1187,8.30,1.4731,0.7329,0.8925,0.9516,1,1,1,0.0000,0.5090,0.7054,0.8527
i_objects_1_4,illumination,1380,822,9.42,1.7916,0.5870,0.7688,0.8906,1,1,1,0.0000,0.4028,0.6417,0.8208
i_objects_1_5,illumination,1386,835,9.18,2.2672,0.5974,0.7670,0.8773,1,1,1,0.0000,0.2443,0.5466,0.7733
i_objects_1_6,illumination,1938,1707,7.93,0.2218,0.8865,0.9685,0.9876,1,1,1,0.7782,0.9261,0.9556,0.9778
i_parking_1_2,illumination,2017,1701,8.38,0.3339,0.8458,0.9509,0.9812,1,1,1,0.6661,0.8887,0.9332,0.9666
i_parking_1_3,illumination,1931,1623,8.51,0.3353,0.8395,0.9482,0.9855,1,1,1,0.6647,0.8882,0.9329,0.9665
i_parking_1_4,illumination,1637,1133,9.15,1.2874,0.6610,0.8314,0.9139,1,1,1,0.0000,0.5709,0.7425,0.8713
i_parking_1_5,illumination,1404,811,9.36,1.3487,0.5434,0.7343,0.8454,1,1,1,0.0000,0.5504,0.7303,0.8651
i_parking_1_6,illumination,1624,1122,8.85,1.1212,0.6669,0.8454,0.9273,1,1,1,0.0000,0.6263,0.7758,0.8879
i_partyfood_1_2,illumination,761,751,7.76,0.1582,0.9882,0.9947,0.9961,1,1,1,0.8418,0.9473,0.9684,0.9842
i_partyfood_1_3,illumination,713,684,7.04,0.0000,0.9607,0.9888,0.9902,1,1,1,1.0000,1.0000,1.0000,1.0000
i_partyfood_1_4,illumination,684,639,7.13,1.3756,0.9313,0.9766,0.9942,1,1,1,0.0000,0.5415,0.7249,0.8624
i_partyfood_1_5,illumination,659,612,7.37,1.1745,0.9287,0.9727,0.9863,1,1,1,0.0000,0.6085,0.7651,0.8825
i_partyfood_1_6,illumination,607,535,7.08,1.9256,0.8830,0.9489,0.9736,1,1,1,0.0000,0.3581,0.6149,0.8074
i_pinard_1_2,illumination,1439,1226,8.97,1.2404,0.8450,0.9097,0.9402,1,1,1,0.0000,0.5865,0.7519,0.8760
i_pinard_1_3,illumination,1087,730,8.57,2.0287,0.6486,0.7682,0.8381,1,1,1,0.0000,0.3238,0.5943,0.7971
i_pinard_1_4,illumination,1119,774,8.85,1.5767,0.6693,0.7748,0.8534,1,1,1,0.0000,0.4744,0.6847,0.8423
i_pinard_1_5,illumination,1187,850,7.65,1.4618,0.6917,0.8029,0.8703,1,1,1,0.0000,0.5127,0.7076,0.8538
i_pinard_1_6,illumination,1329,990,8.01,0.8398,0.7201,0.8427,0.9127,1,1,1,0.1602,0.7201,0.8320,0.9160
i_pool_1_2,illumination,852,405,7.86,1.4371,0.4765,0.6526,0.7606,1,1,1,0.0000,0.5210,0.7126,0.8563
i_pool_1_3,illumination,441,102,8.18,2.8702,0.2132,0.3447,0.4739,1,1,1,0.0000,0.0433,0.4260,0.7130
i_pool_1_4,illumination,444,100,8.42,5.6976,0.2185,0.3468,0.4662,0,0,1,0.0000,0.0000,0.0000,0.4302
i_pool_1_5,illumination,638,235,8.40,2.1125,0.3574,0.5235,0.6458,1,1,1,0.0000,0.2958,0.5775,0.7888
i_pool_1_6,illumination,622,239,7.83,1.5422,0.3553,0.5257,0.6463,1,1,1,0.0000,0.4859,0.6916,0.8458
i_porta_1_2,illumination,2346,1569,9.69,0.4529,0.6598,0.8721,0.9429,1,1,1,0.5471,0.8490,0.9094,0.9547
i_porta_1_3,illumination,2355,1610,9.89,0.2197,0.6862,0.8930,0.9588,1,1,1,0.7803,0.9268,0.9561,0.9780
i_porta_1_4,illumination,1849,1125,9.31,1.3431,0.6084,0.8204,0.9135,1,1,1,0.0000,0.5523,0.7314,0.8657
i_porta_1_5,illumination,1114,691,8.38,1.3623,0.6194,0.8214,0.9039,1,1,1,0.0000,0.5459,0.7275,0.8638
i_porta_1_6,illumination,1120,548,9.11,1.4674,0.4768,0.6750,0.7804,1,1,1,0.0000,0.5109,0.7065,0.8533
i_resort_1_2,illumination,2557,2300,9.02,0.4445,0.9030,0.9777,0.9937,1,1,1,0.5555,0.8518,0.9111,0.9556
i_resort_1_3,illumination,2876,2782,8.35,0.1520,0.9677,0.9951,0.9986,1,1,1,0.8480,0.9493,0.9696,0.9848
i_resort_1_4,illumination,2864,2749,8.44,0.1888,0.9626,0.9920,0.9965,1,1,1,0.8112,0.9371,0.9622,0.9811
i_resort_1_5,illumination,2433,2119,8.60,0.6770,0.8746,0.9655,0.9885,1,1,1,0.3230,0.7743,0.8646,0.9323
i_resort_1_6,illumination,2473,2174,8.81,0.5619,0.8742,0.9737,0.9947,1,1,1,0.4381,0.8127,0.8876,0.9438
i_salon_1_2,illumination,2778,2672,8.68,0.1941,0.9532,0.9849,0.9921,1,1,1,0.8059,0.9353,0.9612,0.9806
i_salon_1_3,illumination,2456,2207,9.32,0.3877,0.8860,0.9678,0.9878,1,1,1,0.6123,0.8708,0.9225,0.9612
i_salon_1_4,illumination,2080,1637,10.30,0.6172,0.7707,0.9111,0.9678,1,1,1,0.3828,0.7943,0.8766,0.9383
i_salon_1_5,illumination,2481,2199,9.42,0.0000,0.8964,0.9678,0.9859,1,1,1,1.0000,1.0000,1.0000,1.0000
i_salon_1_6,illumination,2194,1855,10.34,0.4426,0.8309,0.9289,0.9672,1,1,1,0.5574,0.8525,0.9115,0.9557
i_santuario_1_2,illumination,2013,1620,9.69,1.0852,0.7720,0.9160,0.9642,1,1,1,0.0000,0.6383,0.7830,0.8915
i_santuario_1_3,illumination,2010,1643,9.61,1.1662,0.7706,0.9144,0.9637,1,1,1,0.0000,0.6113,0.7668,0.8834
i_santuario_1_4,illumination,1823,1383,9.63,1.4483,0.6939,0.8694,0.9259,1,1,1,0.0000,0.5172,0.7103,0.8552
i_santuario_1_5,illumination,2046,1697,9.63,0.5654,0.8177,0.9301,0.9682,1,1,1,0.4346,0.8115,0.8869,0.9435
